"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "p.Wills"
"tree_90" 4005.7632 8278.049 73192.897 376.1 0.692452830188679 -106.653478667935 0.891481782699121 0.0454334106985837 7.63286153605194e-05 2.4780225078331e-85 2.15506824030295e-195 0 1 1 0
"tree_91" 4005.7632 8372.819 73192.897 376.1 0.690566037735849 -109.019319963796 0.890180297273993 0.0449191604404681 0.000141879755724748 3.39120793502686e-85 7.67768945837299e-194 0 1 1 0
"tree_92" 4005.7632 8181.229 73192.897 376.1 0.690566037735849 -104.236461106837 0.892811420969258 0.0459710882069185 0.000141879755724748 1.79801795264201e-85 5.40948501541393e-197 0 1 1 0
"tree_93" 4005.7632 8210.189 73192.897 376.1 0.692452830188679 -104.95941946843 0.892413710534398 0.0458089332657263 7.63286153605194e-05 1.9791367829547e-85 1.63466199686748e-196 0 1 1 0
"tree_94" 4005.7632 8343.509 73192.897 376.1 0.694339622641509 -108.287624191066 0.890582814292147 0.0450769574288228 4.00686858393974e-05 3.07771087382767e-85 2.55175859386873e-194 0 1 1 0
"tree_95" 4005.7632 8138.009 73192.897 376.1 0.690566037735849 -103.157515651449 0.893404965340621 0.0462152352006492 0.000141879755724748 1.55800440158317e-85 1.03235927442557e-197 0 1 1 0
"tree_96" 4005.7632 8276.849 73192.897 376.1 0.692452830188679 -106.623521829748 0.891498262413273 0.0454399977576007 7.63286153605194e-05 2.4681941292798e-85 2.05930074946973e-195 0 1 1 0
"tree_97" 4005.7632 8276.849 73192.897 376.1 0.692452830188679 -106.623521829748 0.891498262413273 0.0454399977576007 7.63286153605194e-05 2.4681941292798e-85 2.05930074946973e-195 0 1 1 0
"tree_98" 4005.7632 8300.149 73192.897 376.1 0.694339622641509 -107.205183771222 0.891178281296828 0.0453124395718679 4.00686858393974e-05 2.66617081306348e-85 4.97295028998244e-195 0 1 1 0
"tree_99" 4005.7632 8307.749 73192.897 376.1 0.692452830188679 -107.394910413077 0.891073909773867 0.0452709873637251 7.63286153605194e-05 2.7341124854442e-85 6.62701288766027e-195 0 1 1 0
"tree_100" 4005.7632 8381.049 73192.897 376.1 0.694339622641509 -109.224773945699 0.890067273901103 0.0448750508438741 4.00686858393974e-05 3.48482762448121e-85 1.04547446871739e-193 0 1 1 0
"tree_101" 4005.7632 8795.949 73192.897 376.1 0.694339622641509 -119.582350749041 0.884369412733164 0.0427583197674293 4.00686858393974e-05 1.37190749748495e-84 4.39791058157251e-187 0 1 1 0
"tree_102" 4005.7632 8288.349 73192.897 376.1 0.692452830188679 -106.910608195712 0.891340331819319 0.0453769502225353 7.63286153605194e-05 2.56400437137797e-85 3.18281382066153e-195 0 1 1 0
"tree_103" 4005.7632 8288.349 73192.897 376.1 0.692452830188679 -106.910608195712 0.891340331819319 0.0453769502225353 7.63286153605194e-05 2.56400437137797e-85 3.18281382066153e-195 0 1 1 0
"tree_104" 4005.7632 8257.449 73192.897 376.1 0.692452830188679 -106.139219612383 0.891764684458725 0.0455467542094417 7.63286153605194e-05 2.314591096838e-85 9.86839923165766e-196 0 1 1 0
"tree_105" 4005.7632 8283.349 73192.897 376.1 0.692452830188679 -106.785788036597 0.891408997294951 0.0454043406839432 7.63286153605194e-05 2.52190021575542e-85 2.63404843141091e-195 0 1 1 0
"tree_106" 4005.7632 8245.649 73192.897 376.1 0.692452830188679 -105.844644036872 0.891926734981216 0.0456119342455639 7.63286153605194e-05 2.22586506422193e-85 6.30420025438118e-196 0 1 1 0
"tree_107" 4005.7632 8215.449 73192.897 376.1 0.692452830188679 -105.090730275819 0.892341474454033 0.0457796037684611 7.63286153605194e-05 2.0139345496712e-85 1.99761778065881e-196 0 1 1 0
"tree_108" 4005.7632 8283.349 73192.897 376.1 0.692452830188679 -106.785788036597 0.891408997294951 0.0454043406839432 7.63286153605194e-05 2.52190021575542e-85 2.63404843141091e-195 0 1 1 0
"tree_109" 4005.7632 8314.549 73192.897 376.1 0.694339622641509 -107.564665829473 0.890980524727008 0.0452339627801821 4.00686858393974e-05 2.79636476741333e-85 8.56675281902088e-195 0 1 1 0
"tree_110" 4005.7632 8308.049 73192.897 376.1 0.694339622641509 -107.402399622624 0.891069789845329 0.0452693526482571 4.00686858393974e-05 2.7368295351114e-85 6.70252476117442e-195 0 1 1 0
"tree_111" 4005.7632 8271.299 73192.897 376.1 0.690566037735849 -106.48497145313 0.891574481091224 0.0454704877673991 0.000141879755724748 2.42324122502105e-85 1.6687307169122e-195 0 1 1 0
"tree_112" 4005.7632 8276.849 73192.897 376.1 0.692452830188679 -106.623521829748 0.891498262413273 0.0454399977576007 7.63286153605194e-05 2.4681941292798e-85 2.05930074946973e-195 0 1 1 0
"tree_113" 4005.7632 8281.699 73192.897 376.1 0.692452830188679 -106.744597384089 0.89143165690191 0.0454133867941832 7.63286153605194e-05 2.50815774087596e-85 2.47453183610886e-195 0 1 1 0
"tree_114" 4005.7632 8281.699 73192.897 376.1 0.692452830188679 -106.744597384089 0.89143165690191 0.0454133867941832 7.63286153605194e-05 2.50815774087596e-85 2.47453183610886e-195 0 1 1 0
"tree_115" 4005.7632 8281.949 73192.897 376.1 0.690566037735849 -106.750838392045 0.891428223628128 0.0454120159397263 0.000141879755724748 2.51023512283762e-85 2.49806676505951e-195 0 1 1 0
"tree_116" 4005.7632 8246.549 73192.897 376.1 0.690566037735849 -105.867111665512 0.891914375195602 0.0456069563159086 0.000141879755724748 2.23251112210852e-85 6.52351408212194e-196 0 1 1 0
